Date,Open,High,Low,Close,Adj Close,Volume
2002-07-30,81.750000,81.900002,81.519997,81.519997,41.130581,6100
2002-07-31,81.949997,82.800003,81.900002,82.529999,41.640145,29400
2002-08-01,82.540001,83.019997,82.540001,83.000000,41.877297,25000
2002-08-02,83.160004,84.099998,82.879997,83.849998,42.306172,52900
2002-08-05,84.040001,84.440002,83.849998,84.220001,42.492851,61200
2002-08-06,83.870003,83.900002,83.220001,83.500000,42.129628,65000
2002-08-07,83.599998,84.139999,83.360001,83.699997,42.230461,40400
2002-08-08,83.580002,83.769997,83.360001,83.699997,42.230461,41000
2002-08-09,84.000000,84.879997,84.000000,84.879997,42.825855,36000
2002-08-12,85.300003,86.699997,85.139999,85.400002,43.088239,32200
2002-08-13,85.779999,86.470001,85.370003,86.449997,43.617996,75500
2002-08-14,87.459999,87.900002,86.750000,86.779999,43.784496,130200
2002-08-15,86.379997,86.500000,85.849998,86.019997,43.401042,87200
2002-08-16,86.440002,86.519997,84.820000,85.059998,42.916655,85100
2002-08-19,85.050003,85.339996,84.709999,85.320000,43.047867,47400
2002-08-20,85.620003,86.290001,85.599998,86.269997,43.527188,40900
2002-08-21,85.680000,86.099998,85.629997,85.809998,43.295079,40100
2002-08-22,85.550003,85.550003,85.059998,85.059998,42.916655,34500
2002-08-23,85.199997,85.949997,85.199997,85.900002,43.340504,20100
2002-08-26,85.699997,86.209999,85.669998,85.980003,43.380841,23900
2002-08-27,85.400002,85.680000,85.199997,85.440002,43.108414,302300
2002-08-28,86.040001,86.180000,85.839996,85.870003,43.325343,18100
2002-08-29,86.760002,86.860001,86.349998,86.559998,43.673528,135900
2002-08-30,86.750000,87.129997,86.449997,87.080002,43.935852,78200
2002-09-03,87.080002,88.040001,87.000000,88.040001,44.611332,102300
2002-09-04,88.029999,88.300003,87.839996,88.019997,44.601200,66400
2002-09-05,88.570000,88.650002,87.379997,88.500000,44.844384,649400
2002-09-06,87.970001,88.190002,87.199997,87.459999,44.317442,140200
2002-09-09,87.500000,87.830002,87.260002,87.330002,44.251536,83900
2002-09-10,87.169998,88.000000,87.000000,87.750000,44.464391,336500
2002-09-11,87.000000,87.300003,86.750000,87.290001,44.231298,178000
2002-09-12,87.480003,88.139999,87.470001,87.970001,44.575840,43500
2002-09-13,88.330002,88.940002,88.180000,88.779999,44.986287,155300
2002-09-16,89.199997,89.220001,88.900002,88.930000,45.062295,73100
2002-09-17,88.639999,89.320000,88.360001,89.099998,45.148409,75500
2002-09-18,89.160004,89.559998,89.019997,89.120003,45.158556,196900
2002-09-19,89.699997,89.769997,89.260002,89.720001,45.462596,110100
2002-09-20,89.449997,89.519997,89.059998,89.300003,45.249764,113700
2002-09-23,90.000000,90.239998,89.769997,90.099998,45.655158,163500
2002-09-24,90.300003,90.940002,90.209999,90.680000,45.949062,252300
2002-09-25,90.099998,90.360001,89.260002,89.580002,45.391670,127400
2002-09-26,89.050003,89.529999,88.610001,89.370003,45.285281,429700
2002-09-27,89.529999,90.040001,89.480003,90.040001,45.624747,298700
2002-09-30,90.660004,90.900002,90.080002,90.400002,45.807152,298300
2002-10-01,89.160004,89.300003,88.800003,88.940002,45.239040,257900
2002-10-02,89.239998,89.480003,88.839996,89.449997,45.498448,91100
2002-10-03,89.300003,89.510002,88.800003,89.230003,45.386544,29900
2002-10-04,88.400002,89.720001,88.400002,89.510002,45.528938,131200
2002-10-07,89.900002,89.959999,89.459999,89.660004,45.605276,434500
2002-10-08,89.500000,90.519997,89.360001,89.690002,45.620465,531800
2002-10-09,90.300003,90.379997,89.949997,90.150002,45.854446,403500
2002-10-10,90.169998,90.169998,89.279999,89.440002,45.493328,97300
2002-10-11,89.099998,89.220001,88.059998,88.379997,44.954189,422500
2002-10-14,88.500000,88.550003,88.070000,88.250000,44.888062,18300
2002-10-15,87.000000,87.300003,86.150002,86.160004,43.824979,297600
2002-10-16,86.599998,86.599998,85.889999,86.199997,43.845304,125400
2002-10-17,85.139999,85.559998,85.070000,85.150002,43.311248,233800
2002-10-18,85.019997,85.389999,84.279999,85.370003,43.423151,459800
2002-10-21,85.500000,85.599998,84.500000,84.540001,43.000935,135100
2002-10-22,84.849998,84.849998,84.220001,84.300003,42.878885,205300
2002-10-23,84.750000,85.199997,84.180000,84.330002,42.894173,128000
2002-10-24,84.160004,85.250000,84.080002,85.070000,43.270574,340100
2002-10-25,85.349998,85.559998,85.150002,85.379997,43.428230,146300
2002-10-28,85.559998,85.639999,85.199997,85.260002,43.367183,98000
2002-10-29,85.820000,86.889999,85.769997,86.370003,43.931789,125200
2002-10-30,86.370003,86.680000,86.070000,86.339996,43.916514,32000
2002-10-31,86.050003,86.860001,86.019997,86.730003,44.114917,513500
2002-11-01,86.300003,86.930000,85.250000,85.980003,43.930450,125300
2002-11-04,85.480003,85.750000,85.250000,85.599998,43.736317,343000
2002-11-05,85.599998,85.599998,85.089996,85.269997,43.567675,73900
2002-11-06,85.050003,86.129997,84.910004,85.610001,43.741400,118700
