Date,Open,High,Low,Close,Adj Close,Volume
2007-01-11,100.000000,100.000000,99.919998,99.919998,76.776199,1100
2007-01-12,99.879997,99.930000,99.849998,99.930000,76.783951,1500
2007-01-16,99.830002,99.830002,99.830002,99.830002,76.707085,600
2007-01-17,99.940002,99.940002,99.809998,99.820000,76.699379,700
2007-01-18,99.839996,99.910004,99.839996,99.910004,76.768570,6200
2007-01-19,99.860001,99.860001,99.779999,99.800003,76.684006,2000
2007-01-22,99.900002,99.900002,99.849998,99.849998,76.722397,1200
2007-01-23,99.750000,99.750000,99.709999,99.709999,76.614876,1200
2007-01-24,99.750000,99.750000,99.750000,99.750000,76.645584,1300
2007-01-25,99.660004,99.660004,99.550003,99.550003,76.491928,2100
2007-01-26,99.529999,99.559998,99.480003,99.559998,76.499626,1200
2007-01-29,99.599998,99.610001,99.500000,99.529999,76.476578,3100
2007-01-30,99.610001,99.610001,99.580002,99.580002,76.514938,400
2007-01-31,99.669998,99.839996,99.669998,99.839996,76.714760,3600
2007-02-01,99.739998,99.739998,99.519997,99.529999,76.666199,1600
2007-02-02,99.550003,99.660004,99.550003,99.580002,76.704689,6800
2007-02-05,99.709999,99.709999,99.709999,99.709999,76.804863,7100
2007-02-06,99.669998,99.879997,99.669998,99.879997,76.935852,6600
2007-02-07,99.949997,99.989998,99.940002,99.989998,77.020554,2200
2007-02-08,99.970001,100.029999,99.949997,100.029999,77.051369,7500
2007-02-09,99.809998,99.809998,99.809998,99.809998,76.881912,2000
2007-02-12,99.800003,99.860001,99.709999,99.730003,76.820259,5000
2007-02-13,99.800003,99.800003,99.690002,99.690002,76.789467,1900
2007-02-14,99.889999,100.129997,99.889999,100.120003,77.120705,16600
2007-02-15,100.239998,100.300003,100.220001,100.269997,77.236229,9900
2007-02-16,100.290001,100.290001,100.260002,100.279999,77.243919,16300
2007-02-20,100.239998,100.320000,100.239998,100.269997,77.236229,5400
2007-02-21,100.300003,100.360001,100.300003,100.360001,77.305557,1900
2007-02-22,100.209999,100.209999,100.209999,100.209999,77.189995,200
2007-02-23,100.230003,100.470001,100.230003,100.419998,77.351814,13300
2007-02-26,100.550003,100.620003,100.540001,100.589996,77.482750,1400
2007-02-27,100.830002,101.269997,100.830002,101.199997,77.952568,12300
2007-02-28,101.199997,101.199997,100.970001,101.019997,77.813980,126000
2007-03-01,100.820000,100.949997,100.680000,100.680000,77.828613,48700
2007-03-02,100.919998,100.959999,100.839996,100.959999,78.045113,13600
2007-03-05,101.099998,101.110001,100.959999,100.989998,78.068283,8500
