Date,Dividends
2018-12-28,0.021
2008-12-29,0.004
2015-12-21,0.308
2017-06-20,0.671
2017-12-19,0.528
2018-06-19,0.731
2018-12-18,0.36
2014-06-25,0.908
2016-06-22,0.727
2016-12-21,0.39
2013-06-27,0.689
2015-06-25,0.687
2009-06-23,0.551
2009-12-22,0.276
2010-12-21,0.49
2011-12-20,0.498
2011-06-22,0.634
2013-12-18,0.566
2014-12-17,0.459
2010-06-23,0.516
2012-06-21,0.692
2019-06-17,0.786
2019-12-16,0.794
2020-06-15,0.505
