Date,Dividends
2020-09-07,1.82
2019-09-02,1.83
2018-09-03,1.79
2017-09-04,1.64
2016-09-05,1.64
2015-09-07,1.62
2014-09-01,0.82
2013-09-02,1.18
2012-09-03,1.09
