Date,Open,High,Low,Close,Adj Close,Volume
2013-03-03,1.226300,1.227460,1.224400,1.226070,1.226070,0
2013-03-04,1.225700,1.228500,1.225200,1.225700,1.225700,0
2013-03-05,1.228000,1.232000,1.228000,1.228050,1.228050,0
2013-03-06,1.230900,1.235630,1.230800,1.231000,1.231000,0
2013-03-07,1.235300,1.238600,1.235100,1.235300,1.235300,0
2013-03-10,1.236800,1.237900,1.234700,1.236800,1.236800,0
2013-03-11,1.235900,1.236700,1.232200,1.235690,1.235690,0
2013-03-12,1.234100,1.234300,1.230400,1.234100,1.234100,0
2013-03-13,1.234500,1.236820,1.233100,1.234400,1.234400,0
2013-03-14,1.232100,1.233420,1.227200,1.232100,1.232100,0
2013-03-17,1.218590,1.225770,1.216800,1.218500,1.218500,0
2013-03-18,1.226100,1.226600,1.218770,1.226100,1.226100,0
2013-03-19,1.219200,1.223220,1.218900,1.219030,1.219030,0
2013-03-20,1.222440,1.223430,1.219500,1.222400,1.222400,0
2013-03-21,1.221100,1.223620,1.219800,1.221200,1.221200,0
2013-03-24,1.222130,1.225200,1.219600,1.222300,1.222300,0
2013-03-25,1.219210,1.221800,1.219100,1.219200,1.219200,0
2013-03-26,1.219400,1.219620,1.216800,1.219200,1.219200,0
2013-03-27,1.218600,1.220000,1.216000,1.218600,1.218600,0
2013-03-28,1.216340,1.217250,1.216000,1.216550,1.216550,0
2013-03-31,1.216680,1.217700,1.216000,1.216730,1.216730,0
2013-04-01,1.216000,1.217750,1.213730,1.216100,1.216100,0
2013-04-02,1.216150,1.218140,1.213500,1.216200,1.216200,0
2013-04-03,1.214000,1.216590,1.213300,1.214050,1.214050,0
2013-04-04,1.215700,1.217000,1.214000,1.215700,1.215700,0
2013-04-07,1.213130,1.217140,1.213100,1.213300,1.213300,0
2013-04-08,1.217100,1.221000,1.216700,1.217400,1.217400,0
2013-04-09,1.219580,1.220010,1.217600,1.219500,1.219500,0
2013-04-10,1.218200,1.220020,1.217900,1.218270,1.218270,0
2013-04-11,1.219900,1.219920,1.215600,1.219800,1.219800,0
2013-04-14,1.215900,1.217200,1.214100,1.215800,1.215800,0
2013-04-15,1.214100,1.216910,1.213890,1.214100,1.214100,0
2013-04-16,1.215410,1.216340,1.213880,1.215400,1.215400,0
2013-04-17,1.215460,1.216490,1.215000,1.215500,1.215500,0
2013-04-18,1.216900,1.218640,1.216200,1.217000,1.217000,0
2013-04-21,1.218700,1.220300,1.217900,1.218600,1.218600,0
2013-04-22,1.220300,1.227000,1.219100,1.220200,1.220200,0
2013-04-23,1.228900,1.234010,1.227210,1.228800,1.228800,0
2013-04-24,1.233000,1.234830,1.229300,1.233190,1.233190,0
2013-04-25,1.229200,1.231000,1.225120,1.229160,1.229160,0
2013-04-28,1.228500,1.230710,1.226100,1.228600,1.228600,0
2013-04-29,1.227200,1.227700,1.222900,1.227300,1.227300,0
2013-04-30,1.223700,1.226250,1.222500,1.223720,1.223720,0
2013-05-01,1.221770,1.225650,1.219800,1.221700,1.221700,0
2013-05-02,1.221240,1.226590,1.221100,1.221100,1.221100,0
2013-05-05,1.227300,1.229000,1.225950,1.227140,1.227140,0
2013-05-06,1.226900,1.233670,1.225400,1.226900,1.226900,0
2013-05-07,1.230310,1.234540,1.229450,1.230200,1.230200,0
2013-05-08,1.230600,1.233300,1.228150,1.230550,1.230550,0
2013-05-09,1.237400,1.245900,1.236100,1.237350,1.237350,0
2013-05-12,1.243190,1.244300,1.239530,1.243200,1.243200,0
2013-05-13,1.241800,1.246270,1.238600,1.241800,1.241800,0
2013-05-14,1.248710,1.252380,1.242680,1.248700,1.248700,0
2013-05-15,1.243700,1.248210,1.238300,1.243700,1.243700,0
2013-05-16,1.242800,1.249010,1.241610,1.242800,1.242800,0
2013-05-19,1.245290,1.247580,1.243500,1.245000,1.245000,0
2013-05-20,1.246000,1.252710,1.245000,1.246100,1.246100,0
2013-05-21,1.252220,1.264660,1.251410,1.252100,1.252100,0
2013-05-22,1.258830,1.259400,1.241900,1.258800,1.258800,0
