Date,Open,High,Low,Close,Adj Close,Volume
2019-01-28,1303.795495,1303.945000,1303.794995,1303.899995,1303.899995,0
2019-01-29,1304.049495,1309.170000,1302.825000,1308.234990,1308.234990,0
2019-01-30,1319.775000,1320.690000,1319.280000,1319.410495,1319.410495,0
2019-01-31,1319.569995,1321.380000,1317.590000,1320.965000,1320.965000,0
2019-02-01,1321.140495,1321.854990,1317.645000,1318.495000,1318.495000,0
2019-02-04,1314.505000,1314.505000,1313.590000,1313.795000,1313.795000,0
2019-02-05,1313.370500,1314.935000,1313.365000,1314.765000,1314.765000,0
2019-02-07,1304.169995,1312.015000,1302.889995,1310.525000,1310.525000,0
2019-02-08,1310.515000,1310.635000,1308.440000,1309.430000,1309.430000,0
2019-02-11,1314.064995,1314.064995,1307.055000,1307.825000,1307.825000,0
2019-02-12,1307.755000,1314.825000,1306.669995,1310.395000,1310.395000,0
2019-02-13,1310.214990,1318.224990,1305.105000,1306.344995,1306.344995,0
2019-02-14,1309.419495,1312.845000,1309.419495,1312.005000,1312.005000,0
2019-02-15,1312.085000,1322.685000,1311.500000,1321.334995,1321.334995,0
2019-02-18,1326.480495,1326.744990,1326.185000,1326.474990,1326.474990,0
2019-02-19,1326.385000,1341.895000,1322.980000,1339.615000,1339.615000,0
2019-02-20,1339.705000,1346.770000,1336.964990,1340.685000,1340.685000,0
2019-02-21,1340.605000,1341.580000,1337.539995,1340.210000,1340.210000,0
2019-03-01,1297.065000,1297.994990,1290.255000,1293.594995,1293.594995,0
2019-03-04,1286.854500,1287.744990,1286.675000,1287.224990,1287.224990,0
2019-03-05,1287.125000,1289.649995,1281.295000,1287.765000,1287.765000,0
2019-03-06,1287.765000,1287.765000,1286.185000,1287.165000,1287.165000,0
2019-03-07,1287.145000,1289.095000,1280.860000,1286.145000,1286.145000,0
2019-03-08,1286.135000,1288.100000,1285.340000,1288.044995,1288.044995,0
2019-03-20,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-04-14,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-04-15,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-04-16,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-04-24,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-04-25,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-04-26,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-04-30,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-05-01,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-05-07,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-05-08,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-05-15,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-05-16,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-05-17,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-05-19,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-05-20,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-05-21,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-05-22,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-05-23,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-05-24,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-05-26,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-05-27,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-05-28,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-05-29,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-05-30,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-05-31,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-06-03,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-06-04,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-06-05,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-06-06,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-06-07,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-06-10,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-06-11,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-06-12,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-06-13,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-06-14,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-06-16,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-06-17,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-06-18,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-06-19,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-06-20,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-06-21,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
2019-06-26,21474.836480,21474.836480,21474.836480,21474.836480,21474.836480,0
