Symbol|Security|GICS Sector|GICS Sub-Industry|Founded|from1|to1|from2|to2|from3|to3
DPS|Dr Pepper Snapple Group|||||2018-07-02||||
DPZ|Domino's Pizza|Consumer Discretionary|Restaurants|1960|2020-05-12|||||
DRE|Duke Realty Corp|Real Estate|Industrial REITs|1972|2017-07-26|||||
DRI|Darden Restaurants|Consumer Discretionary|Restaurants|1938||||||
DTE|DTE Energy Co.|Utilities|Multi-Utilities|1995|1957-03-04|||||
DTV|DirecTV|||||2015-07-29||||
DUK|Duke Energy|Utilities|Electric Utilities|1904|1976-06-30|||||
DV|DeVry, Inc.|||||2012-10-01||||
DVA|DaVita Inc.|Health Care|Health Care Facilities|1979|2008-07-31|||||
DVN|Devon Energy|Energy|Oil & Gas Exploration & Production|1971|2000-08-30|||||
DWDP|DowDuPont Inc.||||2017-09-01|2019-06-03||||
DXC|DXC Technology|Information Technology|IT Consulting & Other Services|2017|2017-04-04|||||
DXCM|DexCom|Health Care|Health Care Equipment|1999|2020-05-12|||||
DYN|Dynegy|||||2009-12-18||||
EA|Electronic Arts|Communication Services|Interactive Home Entertainment|1982|2002-07-22|||||
EBAY|eBay Inc.|Consumer Discretionary|Internet & Direct Marketing Retail|1995|2002-07-22|||||
ECL|Ecolab Inc.|Materials|Specialty Chemicals|1923|1989-01-31|||||
ED|Consolidated Edison|Utilities|Electric Utilities|1823||||||
EFX|Equifax Inc.|Industrials|Research & Consulting Services|1899|1997-06-19|||||
EIX|Edison Int'l|Utilities|Electric Utilities|1886|1957-03-04|||||
EK|Eastman Kodak Co.|||||2010-12-17||||
EL|Estée Lauder Companies|Consumer Staples|Personal Products|1946|2006-01-05|||||
EMC|EMC Corporation|||||2016-09-08||||
EMN|Eastman Chemical|Materials|Diversified Chemicals|1920|1994-01-01|||||
EMR|Emerson Electric Company|Industrials|Electrical Components & Equipment|1890|1965-03-31|||||
ENDP|Endo International||||2015-01-27|2017-03-02||||
ENPH|Enphase Energy|Information Technology|Electronic Components|2006|2021-01-07|||||
EOG|EOG Resources|Energy|Oil & Gas Exploration & Production|1999|2000-11-02|||||
EP|El Paso Corp.|||||2012-05-17||||
EQIX|Equinix|Real Estate|Specialized REITs|1998|2015-03-20|||||
EQR|Equity Residential|Real Estate|Residential REITs|1969|2001-12-03|||||
EQT|EQT Corp|||||2018-11-13||||
ES|Eversource Energy|Utilities|Multi-Utilities|1966||||||
ESRX|Express Scripts||||2003-09-25|2018-12-24||||
ESS|Essex Property Trust, Inc.|Real Estate|Residential REITs|1971|2014-04-02|||||
ESV|Ensco plc (now Valaris plc)||||2012-07-31|2016-03-30||||
ETFC|E*TRADE Financial|||||2020-10-07||||
ETN|Eaton Corporation|Industrials|Electrical Components & Equipment|1911||||||
ETR|Entergy Corp.|Utilities|Electric Utilities|1913|1957-03-04|||||
ETSY|Etsy|Consumer Discretionary|Internet & Direct Marketing Retail|2005|2020-09-21|||||
EVHC|Envision Healthcare||||2016-12-02|2018-10-11||||
EVRG|Evergy|Utilities|Electric Utilities|1909|2018-06-05|||||
EW|Edwards Lifesciences|Health Care|Health Care Equipment|1958|2011-04-01|||||
EXC|Exelon Corp.|Utilities|Multi-Utilities|2000|1957-03-04|||||
EXPD|Expeditors|Industrials|Air Freight & Logistics|1979|2007-10-10|||||
EXPE|Expedia Group|Consumer Discretionary|Internet & Direct Marketing Retail|1996|2007-10-02|||||
EXR|Extra Space Storage|Real Estate|Specialized REITs|1977|2016-01-19|||||
F|Ford Motor Company|Consumer Discretionary|Automobile Manufacturers|1903|1957-03-04|||||
FANG|Diamondback Energy|Energy|Oil & Gas Exploration & Production|2007|2018-12-03|||||
FAST|Fastenal Co|Industrials|Building Products|1967|2008-09-15|||||
FB|Facebook, Inc.|Communication Services|Interactive Media & Services|2004|2013-12-23|||||
FBHS|Fortune Brands Home & Security|Industrials|Building Products|2011|2016-06-22|||||
FCX|Freeport-McMoRan Inc.|Materials|Copper|1912||||||
FDC|First Data Corp.|||||2007-09-26||||
FDO|Family Dollar Stores Inc.|||||2015-07-08||||
FDX|FedEx Corporation|Industrials|Air Freight & Logistics|1971|1980-12-31|||||
FE|FirstEnergy Corp|Utilities|Electric Utilities|1997||||||
FFIV|F5 Networks|Information Technology|Communications Equipment|1996|2010-12-20|||||
FHN|First Horizon|||||2013-06-21||||
FII|Federated Investors|||||2012-12-31||||
FIS|Fidelity National Information Services|Information Technology|Data Processing & Outsourced Services|1968|2006-11-10|||||
FISV|Fiserv Inc|Information Technology|Data Processing & Outsourced Services|1984|2001-04-02|||||
FITB|Fifth Third Bancorp|Financials|Regional Banks|1858||||||
FL|Foot Locker||||2016-04-04|2019-08-09||||
FLIR|FLIR Systems|Information Technology|Electronic Equipment & Instruments|1978|2009-01-02|||||
FLR|Fluor Corporation|||||2019-06-03||||
FLS|Flowserve|||||2021-03-22||||
FLT|FleetCor Technologies Inc|Information Technology|Data Processing & Outsourced Services|2000|2018-06-20|||||
FMC|FMC Corporation|Materials|Fertilizers & Agricultural Chemicals|1883|2009-08-19|||||
FNM|Fannie Mae|||||2008-09-12||||
FOSL|Fossil Group||||2012-04-03|2016-01-05||||
FOX|Fox Corporation (Class B)|Communication Services|Movies & Entertainment|2019|2015-09-18|||||
FOXA|Fox Corporation (Class A)|Communication Services|Movies & Entertainment|2019|2013-07-01|||||
FRC|First Republic Bank|Financials|Regional Banks|1985|2019-01-02|||||
FRE|Freddie Mac|||||2008-09-12||||
FRT|Federal Realty Investment Trust|Real Estate|Retail REITs|1962|2016-02-01|||||
FRX|Forest Laboratories|||||2014-07-01||||
FSLR|First Solar|||||2017-03-20||||
FTI|TechnipFMC|||||2021-02-12||||
FTNT|Fortinet|Information Technology|Systems Software|2000|2018-10-11|||||
FTR|Frontier Communications|||||2017-03-20||||
FTV|Fortive Corp|Industrials|Industrial Machinery|2016|2016-07-01|||||
GAS|AGL Resources|||||2016-07-01||||
GD|General Dynamics|Industrials|Aerospace & Defense|1899|1957-03-04|||||
GDI|Gardner Denver||||2020-03-03|||||
GE|General Electric|Industrials|Industrial Conglomerates|1892||||||
GENZ|Genzyme Corp.|||||2011-04-01||||
GGP|General Growth Properties||||2013-12-10|2018-08-28||||
GHC|Graham Holdings|||||2014-09-20||||
GILD|Gilead Sciences|Health Care|Biotechnology|1987|2004-07-01|||||
GIS|General Mills|Consumer Staples|Packaged Foods & Meats|1856|1969-03-31|||||
GL|Globe Life Inc.|Financials|Life & Health Insurance|1900|1989-04-30|||||
GLK|Great Lakes Chemical|||||2005-07-01||||
GLW|Corning Inc.|Information Technology|Electronic Components|1851||||||
GM|General Motors|Consumer Discretionary|Automobile Manufacturers|1908|2013-06-06|||||
GMCR|Keurig Green Mountain||||2014-03-21|2016-03-07||||
GME|GameStop||||2007-12-13|2016-04-25||||
GNRC|Generac Holdings|Industrials|Electrical Components & Equipment|1959|2021-03-22|||||
GNW|Genworth Financial|||||2015-11-18||||
GOOG|Alphabet Inc. (Class C)|Communication Services|Interactive Media & Services|1998|2006-04-03|||||
GOOGL|Alphabet Inc. (Class A)|Communication Services|Interactive Media & Services|1998|2014-04-03|||||
GPC|Genuine Parts|Consumer Discretionary|Specialty Stores|1925|1973-12-31|||||
GPN|Global Payments Inc.|Information Technology|Data Processing & Outsourced Services|2000|2016-04-25|||||
GPS|Gap Inc.|Consumer Discretionary|Apparel Retail|1969|1986-08-31|||||
GR|Goodrich Corporation|||||2012-07-31||||
GRA|W.R. Grace|||||2000-12-05||||
GRMN|Garmin Ltd.|Consumer Discretionary|Consumer Electronics|1989|2012-12-12|||||
GS|Goldman Sachs Group|Financials|Investment Banking & Brokerage|1869|2002-07-22|||||
GT|The Goodyear Tire & Rubber Company|||||2019-02-27||||
GWW|Grainger (W.W.) Inc.|Industrials|Industrial Machinery|1927|1981-06-30|||||
HAL|Halliburton Co.|Energy|Oil & Gas Equipment & Services|1919|1957-03-04|||||
HAR|Harman Int'l Industries|||||2017-03-16||||
HAS|Hasbro Inc.|Consumer Discretionary|Leisure Products|1923|1984-09-30|||||
HBAN|Huntington Bancshares|Financials|Regional Banks|1866||||||
HBI|Hanesbrands Inc|Consumer Discretionary|Apparel, Accessories & Luxury Goods|2000|2015-03-20|||||
HCA|HCA Healthcare|Health Care|Health Care Facilities|1968|2015-01-27|||||
HCBK|Hudson City Bancorp Inc|||||2015-11-02||||
HD|Home Depot|Consumer Discretionary|Home Improvement Retail|1978|1988-03-31|||||
HES|Hess Corporation|Energy|Integrated Oil & Gas|1919|1984-05-31|||||
HFC|HollyFrontier Corp|Energy|Oil & Gas Refining & Marketing|1947|2018-06-18|||||
HIG|Hartford Financial Svc.Gp.|Financials|Property & Casualty Insurance|1810|1957-03-04|||||
HII|Huntington Ingalls Industries|Industrials|Aerospace & Defense|2011|2018-01-03|||||
HLT|Hilton Worldwide Holdings Inc|Consumer Discretionary|Hotels, Resorts & Cruise Lines|1919|2017-06-19|||||
HNZ|H. J. Heinz Company|||||2013-06-06||||
HOG|Harley-Davidson|||||2020-06-22||||
HOLX|Hologic|Health Care|Health Care Equipment|1985|2016-03-30|||||
HON|Honeywell Int'l Inc.|Industrials|Industrial Conglomerates|1906|1964-03-31|||||
HOT|Starwood Hotels & Resorts Worldwide Inc|||||2016-09-22||||
HP|Helmerich & Payne||||2010-02-26|2020-05-22||||
HPE|Hewlett Packard Enterprise|Information Technology|Technology Hardware, Storage & Peripherals|2015|2015-11-02|||||
HPQ|HP Inc.|Information Technology|Technology Hardware, Storage & Peripherals|1939|1974-12-31|||||
HRB|H&R Block|||||2020-09-21||||
HRL|Hormel Foods Corp.|Consumer Staples|Packaged Foods & Meats|1891|2009-03-04|||||
HRS|Harris Corporation||||2008-09-16|||||
HSIC|Henry Schein|Health Care|Health Care Distributors|1932|2015-03-17|||||
HSP|Hospira Inc|||||2015-09-02||||
HST|Host Hotels & Resorts|Real Estate|Hotel & Resort REITs|1993|2007-03-20|||||
HSY|The Hershey Company|Consumer Staples|Packaged Foods & Meats|1894|1957-03-04|||||
HUM|Humana Inc.|Health Care|Managed Health Care|1961||||||
HWM|Howmet Aerospace|Industrials|Aerospace & Defense|2016|1964-03-31|||||
IBM|International Business Machines|Information Technology|IT Consulting & Other Services|1911|1957-03-04|||||
ICE|Intercontinental Exchange|Financials|Financial Exchanges & Data|2000|2007-09-26|||||
IDXX|Idexx Laboratories|Health Care|Health Care Equipment|1983|2017-01-05|||||
IEX|IDEX Corporation|Industrials|Industrial Machinery|1988|2019-08-09|||||
IFF|International Flavors & Fragrances|Materials|Specialty Chemicals|1958|1976-03-31|||||
IGT|International Game Technology|||||2014-06-20||||
ILMN|Illumina Inc|Health Care|Life Sciences Tools & Services|1998|2015-11-19|||||
INCY|Incyte|Health Care|Biotechnology|1991|2017-02-28|||||
INFO|IHS Markit|Industrials|Research & Consulting Services|1959|2017-06-02|||||
INTC|Intel Corp.|Information Technology|Semiconductors|1968|1976-12-31|||||
INTU|Intuit Inc.|Information Technology|Application Software|1983|2000-12-05|||||
IP|International Paper|Materials|Paper Packaging|1898|1957-03-04|||||
IPG|Interpublic Group|Communication Services|Advertising|1961|1992-10-01|||||
IPGP|IPG Photonics Corp.|Information Technology|Electronic Manufacturing Services|1990|2018-03-07|||||
IQV|IQVIA Holdings Inc.|Health Care|Life Sciences Tools & Services|1982|2017-08-29|||||
IR|Ingersoll-Rand|Industrials|Industrial Machinery|1859|2020-03-03|||||
IRM|Iron Mountain Incorporated|Real Estate|Specialized REITs|1951|2009-01-06|||||
ISRG|Intuitive Surgical Inc.|Health Care|Health Care Equipment|1995|2008-06-02|||||
IT|Gartner Inc|Information Technology|IT Consulting & Other Services|1979|2017-04-05|||||
ITT|ITT Corp.|||||2011-10-31||||
ITW|Illinois Tool Works|Industrials|Industrial Machinery|1912|1986-02-28|||||
IVZ|Invesco Ltd.|Financials|Asset Management & Custody Banks|1935|2008-08-21|||||
J|Jacobs Engineering Group|Industrials|Construction & Engineering|1947|2007-10-26|||||
JBHT|J. B. Hunt Transport Services|Industrials|Trucking|1961|2015-07-01|||||
JBL|Jabil Circuit|||||2014-11-05||||
JCI|Johnson Controls International|Industrials|Building Products|1885|2010-08-27|||||
JCP|J.C. Penney|||||2013-12-02||||
JDSU|JDS Uniphase||||2000-07-27|2013-12-23||||
JEC|Jacobs Engineering Group||||2007-10-26|||||
JEF|Jefferies Financial Group Inc|||||2019-09-26||||
JKHY|Jack Henry & Associates|Information Technology|Data Processing & Outsourced Services|1976|2018-11-13|||||
JNJ|Johnson & Johnson|Health Care|Pharmaceuticals|1886|1973-06-30|||||
JNPR|Juniper Networks|Information Technology|Communications Equipment|1996|2006-06-02|||||
JNS|Janus Capital Group|||||2011-11-18||||
JNY|Jones Apparel Group|||||2009-03-03||||
JOY|Joy Global||||2011-02-25|2015-10-07||||
JPM|JPMorgan Chase & Co.|Financials|Diversified Banks|2000|1975-06-30|||||
JWN|Nordstrom|||||2020-06-22||||
K|Kellogg Co.|Consumer Staples|Packaged Foods & Meats|1906||||||
KBH|KB Home|||||2009-12-18||||
KEY|KeyCorp|Financials|Regional Banks|1825|1994-03-01|||||
KEYS|Keysight Technologies|Information Technology|Electronic Equipment & Instruments|2014|2018-11-06|||||
KFT|Kraft Foods||||2007-03-30|||||
KG|King Pharmaceuticals Inc.|||||2010-12-17||||
KHC|Kraft Heinz Co|Consumer Staples|Packaged Foods & Meats|2015|2015-07-06|||||
KIM|Kimco Realty|Real Estate|Retail REITs|1958|2006-04-04|||||
KLAC|KLA Corporation|Information Technology|Semiconductor Equipment|1977||||||
KMB|Kimberly-Clark|Consumer Staples|Household Products|1872|1957-03-04|||||
KMI|Kinder Morgan|Energy|Oil & Gas Storage & Transportation|1997|2012-05-25|||||
